Unnamed: 0,gsm,score,gse,title,source_name,characteristics,geo_summary,geo_design,pubmed_ids,tissue,species,archs4_index,geo_platform_biopython,geo_taxon_biopython,geo_entry_type_biopython,geo_gds_type_biopython,geo_pdat_biopython,geo_n_samples_biopython,geo_ftp_link_biopython,pubmed_title_biopython,pubmed_journal_biopython,pubmed_pub_date_biopython,pubmed_doi_biopython,spaceflight
0,GSM5043457,0.9985424876213074,GSE165565,Cerium oxide nanoparticle administration to skeletal muscle cells under different gravity and radiation conditions,,"experimental class type: A,treatment: without nanoceria,regime: in space without gravity","For their remarkable biomimetic properties implying strong modulation of the intracellular and extracellular redox state, cerium oxide nanoparticles (also termed “nanoceria”) were hypothesized to exert a protective role against oxidative stress associated to the harsh environmental conditions of spaceflight, characterized by microgravity and highly energetic radiations. Nanoparticles were supplied to proliferating C2C12 mouse skeletal muscle cells under different gravity and radiation levels (microgravity+cosmic radiations or Earth gravity+cosmic radiations on board the International Space Station; Earth gravity on ground). Biological responses were thus investigated at a transcriptional level by RNA next-generation sequencing. Lists of differentially expressed genes (DEGs) were generated and intersected by taking into consideration relevant comparisons, which led to the observation of prevailing effects of the space environment over those induced by nanoceria, possibly due to its administration during spaceflight. In space, up-regulation of transcription was slightly preponderant over down-regulation, and it implied involvement of intracellular compartments, with the majority of DEGs being consistently over- or under-expressed whenever present. Cosmic radiations regulated a higher number of DEGs than microgravity and seemed to promote increased cellular catabolism. By taking into consideration space physical stressors alone, microgravity and cosmic radiations appeared to have opposite effects at transcriptional level despite partial sharing of molecular pathways. Interestingly, gene ontology denoted some enrichment in terms related to vision, when only effects of radiation were assessed. The regulation of mitochondrial uncoupling protein 2 in space-relevant samples suggests perturbation of the intracellular redox homeostasis, and leaves open opportunities to antioxidant treatment for oxidative stress reduction in harsh environments.","RNA-seq/miRNA-seq of C2C12 proliferating mouse myoblasts, cultured in the following conditions (n=3): A (without nanoceria, in space without gravity), B (with nanoceria, in space without gravity), C (without nanoceria, in space with gravity), D (with nanoceria, in space with gravity), E (without nanoceria, on land), and F (with nanoceria, on land).",34410709,,,457386,GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing; Non-coding RNA profiling by high throughput sequencing,2021/09/08,36,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE165nnn/GSE165565/,Cerium Oxide Nanoparticle Administration to Skeletal Muscle Cells under Different Gravity and Radiation Conditions.,ACS applied materials & interfaces,2021 Sep 1,10.1021/acsami.1c14176,Space Flight
1,GSM5043461,0.9984521865844728,GSE165565,Cerium oxide nanoparticle administration to skeletal muscle cells under different gravity and radiation conditions,,"experimental class type: A,treatment: without nanoceria,regime: in space without gravity","For their remarkable biomimetic properties implying strong modulation of the intracellular and extracellular redox state, cerium oxide nanoparticles (also termed “nanoceria”) were hypothesized to exert a protective role against oxidative stress associated to the harsh environmental conditions of spaceflight, characterized by microgravity and highly energetic radiations. Nanoparticles were supplied to proliferating C2C12 mouse skeletal muscle cells under different gravity and radiation levels (microgravity+cosmic radiations or Earth gravity+cosmic radiations on board the International Space Station; Earth gravity on ground). Biological responses were thus investigated at a transcriptional level by RNA next-generation sequencing. Lists of differentially expressed genes (DEGs) were generated and intersected by taking into consideration relevant comparisons, which led to the observation of prevailing effects of the space environment over those induced by nanoceria, possibly due to its administration during spaceflight. In space, up-regulation of transcription was slightly preponderant over down-regulation, and it implied involvement of intracellular compartments, with the majority of DEGs being consistently over- or under-expressed whenever present. Cosmic radiations regulated a higher number of DEGs than microgravity and seemed to promote increased cellular catabolism. By taking into consideration space physical stressors alone, microgravity and cosmic radiations appeared to have opposite effects at transcriptional level despite partial sharing of molecular pathways. Interestingly, gene ontology denoted some enrichment in terms related to vision, when only effects of radiation were assessed. The regulation of mitochondrial uncoupling protein 2 in space-relevant samples suggests perturbation of the intracellular redox homeostasis, and leaves open opportunities to antioxidant treatment for oxidative stress reduction in harsh environments.","RNA-seq/miRNA-seq of C2C12 proliferating mouse myoblasts, cultured in the following conditions (n=3): A (without nanoceria, in space without gravity), B (with nanoceria, in space without gravity), C (without nanoceria, in space with gravity), D (with nanoceria, in space with gravity), E (without nanoceria, on land), and F (with nanoceria, on land).",34410709,,,457387,GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing; Non-coding RNA profiling by high throughput sequencing,2021/09/08,36,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE165nnn/GSE165565/,Cerium Oxide Nanoparticle Administration to Skeletal Muscle Cells under Different Gravity and Radiation Conditions.,ACS applied materials & interfaces,2021 Sep 1,10.1021/acsami.1c14176,Space Flight
2,GSM5043440,0.9979363083839417,GSE165565,Cerium oxide nanoparticle administration to skeletal muscle cells under different gravity and radiation conditions,,"experimental class type: B,treatment: with nanoceria,regime: in space without gravity","For their remarkable biomimetic properties implying strong modulation of the intracellular and extracellular redox state, cerium oxide nanoparticles (also termed “nanoceria”) were hypothesized to exert a protective role against oxidative stress associated to the harsh environmental conditions of spaceflight, characterized by microgravity and highly energetic radiations. Nanoparticles were supplied to proliferating C2C12 mouse skeletal muscle cells under different gravity and radiation levels (microgravity+cosmic radiations or Earth gravity+cosmic radiations on board the International Space Station; Earth gravity on ground). Biological responses were thus investigated at a transcriptional level by RNA next-generation sequencing. Lists of differentially expressed genes (DEGs) were generated and intersected by taking into consideration relevant comparisons, which led to the observation of prevailing effects of the space environment over those induced by nanoceria, possibly due to its administration during spaceflight. In space, up-regulation of transcription was slightly preponderant over down-regulation, and it implied involvement of intracellular compartments, with the majority of DEGs being consistently over- or under-expressed whenever present. Cosmic radiations regulated a higher number of DEGs than microgravity and seemed to promote increased cellular catabolism. By taking into consideration space physical stressors alone, microgravity and cosmic radiations appeared to have opposite effects at transcriptional level despite partial sharing of molecular pathways. Interestingly, gene ontology denoted some enrichment in terms related to vision, when only effects of radiation were assessed. The regulation of mitochondrial uncoupling protein 2 in space-relevant samples suggests perturbation of the intracellular redox homeostasis, and leaves open opportunities to antioxidant treatment for oxidative stress reduction in harsh environments.","RNA-seq/miRNA-seq of C2C12 proliferating mouse myoblasts, cultured in the following conditions (n=3): A (without nanoceria, in space without gravity), B (with nanoceria, in space without gravity), C (without nanoceria, in space with gravity), D (with nanoceria, in space with gravity), E (without nanoceria, on land), and F (with nanoceria, on land).",34410709,,,457381,GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing; Non-coding RNA profiling by high throughput sequencing,2021/09/08,36,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE165nnn/GSE165565/,Cerium Oxide Nanoparticle Administration to Skeletal Muscle Cells under Different Gravity and Radiation Conditions.,ACS applied materials & interfaces,2021 Sep 1,10.1021/acsami.1c14176,Space Flight
3,GSM5043450,0.9975914359092712,GSE165565,Cerium oxide nanoparticle administration to skeletal muscle cells under different gravity and radiation conditions,,"experimental class type: B,treatment: with nanoceria,regime: in space without gravity","For their remarkable biomimetic properties implying strong modulation of the intracellular and extracellular redox state, cerium oxide nanoparticles (also termed “nanoceria”) were hypothesized to exert a protective role against oxidative stress associated to the harsh environmental conditions of spaceflight, characterized by microgravity and highly energetic radiations. Nanoparticles were supplied to proliferating C2C12 mouse skeletal muscle cells under different gravity and radiation levels (microgravity+cosmic radiations or Earth gravity+cosmic radiations on board the International Space Station; Earth gravity on ground). Biological responses were thus investigated at a transcriptional level by RNA next-generation sequencing. Lists of differentially expressed genes (DEGs) were generated and intersected by taking into consideration relevant comparisons, which led to the observation of prevailing effects of the space environment over those induced by nanoceria, possibly due to its administration during spaceflight. In space, up-regulation of transcription was slightly preponderant over down-regulation, and it implied involvement of intracellular compartments, with the majority of DEGs being consistently over- or under-expressed whenever present. Cosmic radiations regulated a higher number of DEGs than microgravity and seemed to promote increased cellular catabolism. By taking into consideration space physical stressors alone, microgravity and cosmic radiations appeared to have opposite effects at transcriptional level despite partial sharing of molecular pathways. Interestingly, gene ontology denoted some enrichment in terms related to vision, when only effects of radiation were assessed. The regulation of mitochondrial uncoupling protein 2 in space-relevant samples suggests perturbation of the intracellular redox homeostasis, and leaves open opportunities to antioxidant treatment for oxidative stress reduction in harsh environments.","RNA-seq/miRNA-seq of C2C12 proliferating mouse myoblasts, cultured in the following conditions (n=3): A (without nanoceria, in space without gravity), B (with nanoceria, in space without gravity), C (without nanoceria, in space with gravity), D (with nanoceria, in space with gravity), E (without nanoceria, on land), and F (with nanoceria, on land).",34410709,,,457384,GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing; Non-coding RNA profiling by high throughput sequencing,2021/09/08,36,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE165nnn/GSE165565/,Cerium Oxide Nanoparticle Administration to Skeletal Muscle Cells under Different Gravity and Radiation Conditions.,ACS applied materials & interfaces,2021 Sep 1,10.1021/acsami.1c14176,Space Flight
4,GSM5043454,0.9975480437278748,GSE165565,Cerium oxide nanoparticle administration to skeletal muscle cells under different gravity and radiation conditions,,"experimental class type: B,treatment: with nanoceria,regime: in space without gravity","For their remarkable biomimetic properties implying strong modulation of the intracellular and extracellular redox state, cerium oxide nanoparticles (also termed “nanoceria”) were hypothesized to exert a protective role against oxidative stress associated to the harsh environmental conditions of spaceflight, characterized by microgravity and highly energetic radiations. Nanoparticles were supplied to proliferating C2C12 mouse skeletal muscle cells under different gravity and radiation levels (microgravity+cosmic radiations or Earth gravity+cosmic radiations on board the International Space Station; Earth gravity on ground). Biological responses were thus investigated at a transcriptional level by RNA next-generation sequencing. Lists of differentially expressed genes (DEGs) were generated and intersected by taking into consideration relevant comparisons, which led to the observation of prevailing effects of the space environment over those induced by nanoceria, possibly due to its administration during spaceflight. In space, up-regulation of transcription was slightly preponderant over down-regulation, and it implied involvement of intracellular compartments, with the majority of DEGs being consistently over- or under-expressed whenever present. Cosmic radiations regulated a higher number of DEGs than microgravity and seemed to promote increased cellular catabolism. By taking into consideration space physical stressors alone, microgravity and cosmic radiations appeared to have opposite effects at transcriptional level despite partial sharing of molecular pathways. Interestingly, gene ontology denoted some enrichment in terms related to vision, when only effects of radiation were assessed. The regulation of mitochondrial uncoupling protein 2 in space-relevant samples suggests perturbation of the intracellular redox homeostasis, and leaves open opportunities to antioxidant treatment for oxidative stress reduction in harsh environments.","RNA-seq/miRNA-seq of C2C12 proliferating mouse myoblasts, cultured in the following conditions (n=3): A (without nanoceria, in space without gravity), B (with nanoceria, in space without gravity), C (without nanoceria, in space with gravity), D (with nanoceria, in space with gravity), E (without nanoceria, on land), and F (with nanoceria, on land).",34410709,,,457385,GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing; Non-coding RNA profiling by high throughput sequencing,2021/09/08,36,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE165nnn/GSE165565/,Cerium Oxide Nanoparticle Administration to Skeletal Muscle Cells under Different Gravity and Radiation Conditions.,ACS applied materials & interfaces,2021 Sep 1,10.1021/acsami.1c14176,Space Flight
5,GSM5043447,0.9967083930969238,GSE165565,Cerium oxide nanoparticle administration to skeletal muscle cells under different gravity and radiation conditions,,"experimental class type: C,treatment: without nanoceria,regime: in space with gravity","For their remarkable biomimetic properties implying strong modulation of the intracellular and extracellular redox state, cerium oxide nanoparticles (also termed “nanoceria”) were hypothesized to exert a protective role against oxidative stress associated to the harsh environmental conditions of spaceflight, characterized by microgravity and highly energetic radiations. Nanoparticles were supplied to proliferating C2C12 mouse skeletal muscle cells under different gravity and radiation levels (microgravity+cosmic radiations or Earth gravity+cosmic radiations on board the International Space Station; Earth gravity on ground). Biological responses were thus investigated at a transcriptional level by RNA next-generation sequencing. Lists of differentially expressed genes (DEGs) were generated and intersected by taking into consideration relevant comparisons, which led to the observation of prevailing effects of the space environment over those induced by nanoceria, possibly due to its administration during spaceflight. In space, up-regulation of transcription was slightly preponderant over down-regulation, and it implied involvement of intracellular compartments, with the majority of DEGs being consistently over- or under-expressed whenever present. Cosmic radiations regulated a higher number of DEGs than microgravity and seemed to promote increased cellular catabolism. By taking into consideration space physical stressors alone, microgravity and cosmic radiations appeared to have opposite effects at transcriptional level despite partial sharing of molecular pathways. Interestingly, gene ontology denoted some enrichment in terms related to vision, when only effects of radiation were assessed. The regulation of mitochondrial uncoupling protein 2 in space-relevant samples suggests perturbation of the intracellular redox homeostasis, and leaves open opportunities to antioxidant treatment for oxidative stress reduction in harsh environments.","RNA-seq/miRNA-seq of C2C12 proliferating mouse myoblasts, cultured in the following conditions (n=3): A (without nanoceria, in space without gravity), B (with nanoceria, in space without gravity), C (without nanoceria, in space with gravity), D (with nanoceria, in space with gravity), E (without nanoceria, on land), and F (with nanoceria, on land).",34410709,,,457383,GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing; Non-coding RNA profiling by high throughput sequencing,2021/09/08,36,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE165nnn/GSE165565/,Cerium Oxide Nanoparticle Administration to Skeletal Muscle Cells under Different Gravity and Radiation Conditions.,ACS applied materials & interfaces,2021 Sep 1,10.1021/acsami.1c14176,Space Flight
6,GSM5043430,0.9964329600334167,GSE165565,Cerium oxide nanoparticle administration to skeletal muscle cells under different gravity and radiation conditions,,"experimental class type: C,treatment: without nanoceria,regime: in space with gravity","For their remarkable biomimetic properties implying strong modulation of the intracellular and extracellular redox state, cerium oxide nanoparticles (also termed “nanoceria”) were hypothesized to exert a protective role against oxidative stress associated to the harsh environmental conditions of spaceflight, characterized by microgravity and highly energetic radiations. Nanoparticles were supplied to proliferating C2C12 mouse skeletal muscle cells under different gravity and radiation levels (microgravity+cosmic radiations or Earth gravity+cosmic radiations on board the International Space Station; Earth gravity on ground). Biological responses were thus investigated at a transcriptional level by RNA next-generation sequencing. Lists of differentially expressed genes (DEGs) were generated and intersected by taking into consideration relevant comparisons, which led to the observation of prevailing effects of the space environment over those induced by nanoceria, possibly due to its administration during spaceflight. In space, up-regulation of transcription was slightly preponderant over down-regulation, and it implied involvement of intracellular compartments, with the majority of DEGs being consistently over- or under-expressed whenever present. Cosmic radiations regulated a higher number of DEGs than microgravity and seemed to promote increased cellular catabolism. By taking into consideration space physical stressors alone, microgravity and cosmic radiations appeared to have opposite effects at transcriptional level despite partial sharing of molecular pathways. Interestingly, gene ontology denoted some enrichment in terms related to vision, when only effects of radiation were assessed. The regulation of mitochondrial uncoupling protein 2 in space-relevant samples suggests perturbation of the intracellular redox homeostasis, and leaves open opportunities to antioxidant treatment for oxidative stress reduction in harsh environments.","RNA-seq/miRNA-seq of C2C12 proliferating mouse myoblasts, cultured in the following conditions (n=3): A (without nanoceria, in space without gravity), B (with nanoceria, in space without gravity), C (without nanoceria, in space with gravity), D (with nanoceria, in space with gravity), E (without nanoceria, on land), and F (with nanoceria, on land).",34410709,,,457378,GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing; Non-coding RNA profiling by high throughput sequencing,2021/09/08,36,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE165nnn/GSE165565/,Cerium Oxide Nanoparticle Administration to Skeletal Muscle Cells under Different Gravity and Radiation Conditions.,ACS applied materials & interfaces,2021 Sep 1,10.1021/acsami.1c14176,Space Flight
7,GSM5043436,0.9958657026290894,GSE165565,Cerium oxide nanoparticle administration to skeletal muscle cells under different gravity and radiation conditions,,"experimental class type: C,treatment: without nanoceria,regime: in space with gravity","For their remarkable biomimetic properties implying strong modulation of the intracellular and extracellular redox state, cerium oxide nanoparticles (also termed “nanoceria”) were hypothesized to exert a protective role against oxidative stress associated to the harsh environmental conditions of spaceflight, characterized by microgravity and highly energetic radiations. Nanoparticles were supplied to proliferating C2C12 mouse skeletal muscle cells under different gravity and radiation levels (microgravity+cosmic radiations or Earth gravity+cosmic radiations on board the International Space Station; Earth gravity on ground). Biological responses were thus investigated at a transcriptional level by RNA next-generation sequencing. Lists of differentially expressed genes (DEGs) were generated and intersected by taking into consideration relevant comparisons, which led to the observation of prevailing effects of the space environment over those induced by nanoceria, possibly due to its administration during spaceflight. In space, up-regulation of transcription was slightly preponderant over down-regulation, and it implied involvement of intracellular compartments, with the majority of DEGs being consistently over- or under-expressed whenever present. Cosmic radiations regulated a higher number of DEGs than microgravity and seemed to promote increased cellular catabolism. By taking into consideration space physical stressors alone, microgravity and cosmic radiations appeared to have opposite effects at transcriptional level despite partial sharing of molecular pathways. Interestingly, gene ontology denoted some enrichment in terms related to vision, when only effects of radiation were assessed. The regulation of mitochondrial uncoupling protein 2 in space-relevant samples suggests perturbation of the intracellular redox homeostasis, and leaves open opportunities to antioxidant treatment for oxidative stress reduction in harsh environments.","RNA-seq/miRNA-seq of C2C12 proliferating mouse myoblasts, cultured in the following conditions (n=3): A (without nanoceria, in space without gravity), B (with nanoceria, in space without gravity), C (without nanoceria, in space with gravity), D (with nanoceria, in space with gravity), E (without nanoceria, on land), and F (with nanoceria, on land).",34410709,,,457380,GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing; Non-coding RNA profiling by high throughput sequencing,2021/09/08,36,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE165nnn/GSE165565/,Cerium Oxide Nanoparticle Administration to Skeletal Muscle Cells under Different Gravity and Radiation Conditions.,ACS applied materials & interfaces,2021 Sep 1,10.1021/acsami.1c14176,Space Flight
8,GSM5043443,0.995442509651184,GSE165565,Cerium oxide nanoparticle administration to skeletal muscle cells under different gravity and radiation conditions,,"experimental class type: D,treatment: with nanoceria,regime: in space with gravity","For their remarkable biomimetic properties implying strong modulation of the intracellular and extracellular redox state, cerium oxide nanoparticles (also termed “nanoceria”) were hypothesized to exert a protective role against oxidative stress associated to the harsh environmental conditions of spaceflight, characterized by microgravity and highly energetic radiations. Nanoparticles were supplied to proliferating C2C12 mouse skeletal muscle cells under different gravity and radiation levels (microgravity+cosmic radiations or Earth gravity+cosmic radiations on board the International Space Station; Earth gravity on ground). Biological responses were thus investigated at a transcriptional level by RNA next-generation sequencing. Lists of differentially expressed genes (DEGs) were generated and intersected by taking into consideration relevant comparisons, which led to the observation of prevailing effects of the space environment over those induced by nanoceria, possibly due to its administration during spaceflight. In space, up-regulation of transcription was slightly preponderant over down-regulation, and it implied involvement of intracellular compartments, with the majority of DEGs being consistently over- or under-expressed whenever present. Cosmic radiations regulated a higher number of DEGs than microgravity and seemed to promote increased cellular catabolism. By taking into consideration space physical stressors alone, microgravity and cosmic radiations appeared to have opposite effects at transcriptional level despite partial sharing of molecular pathways. Interestingly, gene ontology denoted some enrichment in terms related to vision, when only effects of radiation were assessed. The regulation of mitochondrial uncoupling protein 2 in space-relevant samples suggests perturbation of the intracellular redox homeostasis, and leaves open opportunities to antioxidant treatment for oxidative stress reduction in harsh environments.","RNA-seq/miRNA-seq of C2C12 proliferating mouse myoblasts, cultured in the following conditions (n=3): A (without nanoceria, in space without gravity), B (with nanoceria, in space without gravity), C (without nanoceria, in space with gravity), D (with nanoceria, in space with gravity), E (without nanoceria, on land), and F (with nanoceria, on land).",34410709,,,457382,GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing; Non-coding RNA profiling by high throughput sequencing,2021/09/08,36,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE165nnn/GSE165565/,Cerium Oxide Nanoparticle Administration to Skeletal Muscle Cells under Different Gravity and Radiation Conditions.,ACS applied materials & interfaces,2021 Sep 1,10.1021/acsami.1c14176,Space Flight
9,GSM5043478,0.9951283931732178,GSE165565,Cerium oxide nanoparticle administration to skeletal muscle cells under different gravity and radiation conditions,,"experimental class type: E,treatment: without nanoceria,regime: on land","For their remarkable biomimetic properties implying strong modulation of the intracellular and extracellular redox state, cerium oxide nanoparticles (also termed “nanoceria”) were hypothesized to exert a protective role against oxidative stress associated to the harsh environmental conditions of spaceflight, characterized by microgravity and highly energetic radiations. Nanoparticles were supplied to proliferating C2C12 mouse skeletal muscle cells under different gravity and radiation levels (microgravity+cosmic radiations or Earth gravity+cosmic radiations on board the International Space Station; Earth gravity on ground). Biological responses were thus investigated at a transcriptional level by RNA next-generation sequencing. Lists of differentially expressed genes (DEGs) were generated and intersected by taking into consideration relevant comparisons, which led to the observation of prevailing effects of the space environment over those induced by nanoceria, possibly due to its administration during spaceflight. In space, up-regulation of transcription was slightly preponderant over down-regulation, and it implied involvement of intracellular compartments, with the majority of DEGs being consistently over- or under-expressed whenever present. Cosmic radiations regulated a higher number of DEGs than microgravity and seemed to promote increased cellular catabolism. By taking into consideration space physical stressors alone, microgravity and cosmic radiations appeared to have opposite effects at transcriptional level despite partial sharing of molecular pathways. Interestingly, gene ontology denoted some enrichment in terms related to vision, when only effects of radiation were assessed. The regulation of mitochondrial uncoupling protein 2 in space-relevant samples suggests perturbation of the intracellular redox homeostasis, and leaves open opportunities to antioxidant treatment for oxidative stress reduction in harsh environments.","RNA-seq/miRNA-seq of C2C12 proliferating mouse myoblasts, cultured in the following conditions (n=3): A (without nanoceria, in space without gravity), B (with nanoceria, in space without gravity), C (without nanoceria, in space with gravity), D (with nanoceria, in space with gravity), E (without nanoceria, on land), and F (with nanoceria, on land).",34410709,,,457392,GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing; Non-coding RNA profiling by high throughput sequencing,2021/09/08,36,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE165nnn/GSE165565/,Cerium Oxide Nanoparticle Administration to Skeletal Muscle Cells under Different Gravity and Radiation Conditions.,ACS applied materials & interfaces,2021 Sep 1,10.1021/acsami.1c14176,Space Flight
